instance,algorithm,value,optimal_value,approximation_ratio,execution_time,problem_size
random_32,greedy_hybrid,285,285,1.0,2.229199162684381e-05,20
random_32,improved_greedy,318,285,1.1157894736842104,2.3250002413988113e-05,20
random_32,knapsack_dp,285,285,1.0,0.00022933300351724029,20
random_33,greedy_value_density,388,388,1.0,7.500057108700275e-07,20
random_33,greedy_value_only,338,388,0.8711340206185567,9.170034900307655e-07,20
random_33,greedy_weight_only,330,388,0.8505154639175257,9.999930625781417e-07,20
random_33,greedy_hybrid,388,388,1.0,2.400000812485814e-05,20
random_33,improved_greedy,428,388,1.1030927835051547,2.3792003048583865e-05,20
random_33,knapsack_dp,388,388,1.0,0.00028449999808799475,20
random_34,greedy_value_density,585,585,1.0,9.170034900307655e-07,20
random_34,greedy_value_only,585,585,1.0,1.00000761449337e-06,20
random_34,greedy_weight_only,585,585,1.0,1.2920063454657793e-06,20
random_34,greedy_hybrid,585,585,1.0,2.28749995585531e-05,20
random_34,improved_greedy,585,585,1.0,1.533300383016467e-05,20
random_34,knapsack_dp,585,585,1.0,0.000542207999387756,20
random_35,greedy_value_density,321,322,0.9968944099378882,1.00000761449337e-06,20
random_35,greedy_value_only,285,322,0.8850931677018633,7.499911589547992e-07,20
random_35,greedy_weight_only,264,322,0.8198757763975155,9.57996235229075e-07,20
random_35,greedy_hybrid,321,322,0.9968944099378882,2.2082997020334005e-05,20
random_35,improved_greedy,362,322,1.124223602484472,2.0625011529773474e-05,20
random_35,knapsack_dp,322,322,1.0,0.000210291997063905,20
random_36,greedy_value_density,581,581,1.0,1.00000761449337e-06,20
random_36,greedy_value_only,581,581,1.0,1.1660013115033507e-06,20
random_36,greedy_weight_only,519,581,0.8932874354561101,1.2499949662014842e-06,20
random_36,greedy_hybrid,581,581,1.0,2.5124987587332726e-05,20
random_36,improved_greedy,630,581,1.0843373493975903,2.3334010620601475e-05,20
random_36,knapsack_dp,581,581,1.0,0.0005408330034697428,20
random_37,greedy_value_density,481,483,0.9958592132505176,9.57996235229075e-07,20
random_37,greedy_value_only,483,483,1.0,9.580107871443033e-07,20
random_37,greedy_weight_only,465,483,0.9627329192546584,9.159994078800082e-07,20
random_37,greedy_hybrid,483,483,1.0,2.2250009351409972e-05,20
random_37,improved_greedy,497,483,1.0289855072463767,2.291599230375141e-05,20
random_37,knapsack_dp,483,483,1.0,0.0004947910056216642,20
random_38,greedy_value_density,294,294,1.0,6.250047590583563e-07,20
random_38,greedy_value_only,288,294,0.9795918367346939,6.67001586407423e-07,20
random_38,greedy_weight_only,250,294,0.8503401360544217,5.830079317092896e-07,20
random_38,greedy_hybrid,294,294,1.0,1.741599407978356e-05,20
random_38,improved_greedy,333,294,1.1326530612244898,2.9999995604157448e-05,20
random_38,knapsack_dp,294,294,1.0,0.00022233299387153238,20
random_39,greedy_value_density,475,475,1.0,9.999930625781417e-07,20
random_39,greedy_value_only,475,475,1.0,9.57996235229075e-07,20
random_39,greedy_weight_only,475,475,1.0,9.159994078800082e-07,20
random_39,greedy_hybrid,475,475,1.0,2.1624990040436387e-05,20
random_39,improved_greedy,475,475,1.0,1.9749990315176547e-05,20
random_39,knapsack_dp,475,475,1.0,0.0005611250089714304,20
random_40,greedy_value_density,317,317,1.0,7.089984137564898e-07,20
random_40,greedy_value_only,280,317,0.8832807570977917,8.750066626816988e-07,20
random_40,greedy_weight_only,267,317,0.8422712933753943,9.57996235229075e-07,20
random_40,greedy_hybrid,317,317,1.0,2.3667002096772194e-05,20
random_40,improved_greedy,358,317,1.1293375394321767,2.041699190158397e-05,20
random_40,knapsack_dp,317,317,1.0,0.00018591700063552707,20
random_41,greedy_value_density,495,495,1.0,7.920025382190943e-07,20
random_41,greedy_value_only,495,495,1.0,9.159994078800082e-07,20
random_41,greedy_weight_only,411,495,0.8303030303030303,7.920025382190943e-07,20
random_41,greedy_hybrid,495,495,1.0,1.7541999113745987e-05,20
random_41,improved_greedy,536,495,1.082828282828283,2.462499833200127e-05,20
random_41,knapsack_dp,495,495,1.0,0.00041287500062026083,20
random_42,greedy_value_density,511,511,1.0,9.57996235229075e-07,20
random_42,greedy_value_only,511,511,1.0,9.159994078800082e-07,20
random_42,greedy_weight_only,511,511,1.0,8.750066626816988e-07,20
random_42,greedy_hybrid,511,511,1.0,2.195900015067309e-05,20
random_42,improved_greedy,511,511,1.0,1.4499993994832039e-05,20
random_42,knapsack_dp,511,511,1.0,0.0005789999995613471,20
random_43,greedy_value_density,476,476,1.0,1.0830117389559746e-06,20
random_43,greedy_value_only,476,476,1.0,1.2920063454657793e-06,20
random_43,greedy_weight_only,441,476,0.9264705882352942,1.1669908417388797e-06,20
random_43,greedy_hybrid,476,476,1.0,2.4958993890322745e-05,20
random_43,improved_greedy,512,476,1.0756302521008403,2.258399035781622e-05,20
random_43,knapsack_dp,476,476,1.0,0.0005345000099623576,20
random_44,greedy_value_density,326,327,0.9969418960244648,7.500057108700275e-07,20
random_44,greedy_value_only,327,327,1.0,7.079943316057324e-07,20
random_44,greedy_weight_only,288,327,0.8807339449541285,6.249902071431279e-07,20
random_44,greedy_hybrid,327,327,1.0,2.2375010303221643e-05,20
random_44,improved_greedy,371,327,1.1345565749235473,2.095900708809495e-05,20
random_44,knapsack_dp,327,327,1.0,0.00018312499742023647,20
random_45,greedy_value_density,452,466,0.9699570815450643,7.080088835209608e-07,20
random_45,greedy_value_only,438,466,0.9399141630901288,7.499911589547992e-07,20
random_45,greedy_weight_only,452,466,0.9699570815450643,6.67001586407423e-07,20
random_45,greedy_hybrid,452,466,0.9699570815450643,2.274999860674143e-05,20
random_45,improved_greedy,492,466,1.055793991416309,2.1625004592351615e-05,20
random_45,knapsack_dp,466,466,1.0,0.00026641700242180377,20
random_46,greedy_value_density,281,283,0.9929328621908127,5.420006345957518e-07,20
random_46,greedy_value_only,261,283,0.9222614840989399,6.659975042566657e-07,20
random_46,greedy_weight_only,207,283,0.7314487632508834,7.920025382190943e-07,20
random_46,greedy_hybrid,281,283,0.9929328621908127,2.0040999515913427e-05,20
random_46,improved_greedy,308,283,1.088339222614841,2.0000006770715117e-05,20
random_46,knapsack_dp,283,283,1.0,0.00019933300791308284,20
random_47,greedy_value_density,507,507,1.0,9.57996235229075e-07,20
random_47,greedy_value_only,507,507,1.0,9.160139597952366e-07,20
random_47,greedy_weight_only,430,507,0.8481262327416174,8.749921107664704e-07,20
random_47,greedy_hybrid,507,507,1.0,1.9041995983570814e-05,20
random_47,improved_greedy,550,507,1.0848126232741617,1.8165999790653586e-05,20
random_47,knapsack_dp,507,507,1.0,0.0005619590083369985,20
random_48,greedy_value_density,554,557,0.9946140035906643,1.0829971870407462e-06,20
random_48,greedy_value_only,557,557,1.0,8.749921107664704e-07,20
random_48,greedy_weight_only,513,557,0.9210053859964094,8.329952834174037e-07,20
random_48,greedy_hybrid,557,557,1.0,1.8625010852701962e-05,20
random_48,improved_greedy,594,557,1.066427289048474,2.3375003365799785e-05,20
random_48,knapsack_dp,557,557,1.0,0.0006127090018708259,20
random_49,greedy_value_density,413,413,1.0,9.169889381155372e-07,20
random_49,greedy_value_only,413,413,1.0,9.170034900307655e-07,20
random_49,greedy_weight_only,413,413,1.0,8.750066626816988e-07,20
random_49,greedy_hybrid,413,413,1.0,1.941599475685507e-05,20
random_49,improved_greedy,413,413,1.0,1.8457998521625996e-05,20
random_49,knapsack_dp,413,413,1.0,0.0005670000100508332,20
random_50,greedy_value_density,420,432,0.9722222222222222,8.750066626816988e-07,20
random_50,greedy_value_only,411,432,0.9513888888888888,8.329952834174037e-07,20
random_50,greedy_weight_only,363,432,0.8402777777777778,5.207999492995441e-06,20
random_50,greedy_hybrid,420,432,0.9722222222222222,8.495799556840211e-05,20
random_50,improved_greedy,464,432,1.0740740740740742,7.204200665000826e-05,20
random_50,knapsack_dp,432,432,1.0,0.000396707997424528,20
